id,cps19_age,cps19_gender,cps19_interest_gen_1
589,37,1,7
590,62,2,4
591,52,1,8
592,46,2,5
593,47,1,9
594,81,1,8
595,43,2,3
596,57,1,3
597,46,2,10
598,67,2,7
599,66,1,10
600,67,1,9
601,67,1,9
602,61,1,7
603,38,2,2
604,65,1,8
605,70,1,9
606,76,1,8
607,39,2,3
608,56,1,10
609,81,1,6
610,70,1,8
611,65,1,7
612,62,2,7
613,45,1,9
614,40,1,10
615,49,1,10
616,55,2,7
617,65,1,8
618,70,2,2
619,42,1,7
620,25,2,0
621,40,2,9
622,59,1,10
623,47,1,2
624,67,2,NA
625,70,1,2
626,73,1,9
627,46,2,NA
628,34,2,6
629,54,2,6
630,30,2,2
631,71,1,9
632,47,1,7
633,57,2,3
634,68,2,NA
635,57,2,8
636,61,2,9
637,44,1,2
638,65,1,8
639,46,1,7
640,45,1,10
641,42,2,5
642,48,1,8
643,65,2,7
644,34,2,5
645,73,2,7
646,55,2,6
647,50,1,5
648,54,2,0
649,65,2,7
650,41,2,6
651,51,2,7
652,58,2,8
653,75,1,6
654,71,1,9
655,56,2,1
656,62,1,7
657,76,1,9
658,71,1,5
659,88,1,7
660,57,2,8
661,51,2,8
662,67,1,9
663,75,2,7
664,58,3,NA
665,41,2,2
666,50,1,9
667,61,1,7
668,42,1,6
669,73,1,10
670,53,2,6
671,70,1,10
672,31,1,6
673,38,2,6
674,46,2,9
675,51,2,6
676,72,1,10
677,53,1,10
678,72,1,8
679,67,2,2
680,48,1,8
681,55,2,4
682,66,2,6
683,73,2,5
684,36,2,6
685,72,1,10
686,61,2,9
687,61,1,10
688,57,2,7
689,70,1,10
690,63,2,2
691,59,1,10
692,45,2,8
693,78,2,4
694,40,1,9
695,57,2,0
696,44,2,8
697,63,1,3
698,30,2,8
699,46,2,8
700,73,2,2
701,66,2,6
702,63,2,6
703,46,1,8
704,60,2,6
705,68,1,5
706,35,2,7
707,70,1,10
708,35,1,6
709,40,2,5
710,65,2,9
711,42,2,10
712,75,1,7
713,63,2,3
714,69,2,8
715,76,2,8
716,36,2,8
717,54,2,6
718,32,1,10
719,33,2,7
720,54,2,3
721,62,1,7
722,51,2,7
723,66,1,8
724,30,2,9
725,42,2,3
726,64,1,3
727,59,2,4
728,38,2,6
729,31,1,10
730,52,1,6
731,36,2,5
732,47,3,NA
733,33,2,7
734,77,1,5
735,76,1,8
736,36,1,8
737,45,1,6
738,57,1,9
739,56,2,1
740,72,2,NA
741,63,2,8
742,42,1,5
743,72,2,9
744,69,1,8
745,50,1,8
746,39,2,7
747,76,1,7
748,35,1,7
749,64,2,10
750,62,1,4
751,35,2,2
752,55,2,9
753,33,2,3
754,57,1,6
755,55,1,6
756,81,2,10
757,44,2,3
758,27,1,6
759,52,1,2
760,49,2,6
761,61,1,6
762,72,2,7
763,37,2,7
764,34,2,8
765,54,2,10
766,59,1,10
767,99,2,7
768,35,2,5
769,45,2,7
770,59,2,7
771,67,2,7
772,46,2,5
773,52,1,8
774,45,1,6
775,71,2,NA
776,61,1,4
777,52,1,9
778,47,2,9
779,41,2,8
780,41,2,5
781,52,2,7
782,39,1,5
783,75,1,9
784,65,2,5
785,45,1,8
786,62,2,7
787,51,1,0
788,60,2,8
789,73,1,4
790,46,2,6
791,59,2,NA
792,49,2,5
793,41,1,5
794,55,2,6
795,63,2,6
796,59,2,10
797,42,2,NA
798,37,2,10
799,30,1,8
800,35,1,9
801,52,2,7
802,57,2,9
803,56,2,7
804,34,2,10
805,66,1,9
806,70,2,8
807,52,1,7
808,74,2,3
809,65,2,8
810,61,2,7
811,52,1,7
812,40,1,6
813,67,1,6
814,56,2,3
815,53,2,6
816,65,2,6
817,50,2,7
818,55,2,7
819,31,1,6
820,73,1,5
821,45,1,10
822,68,1,9
823,65,2,6
824,83,1,9
825,36,2,10
826,76,2,10
827,40,2,7
828,53,1,2
829,53,2,0
830,46,1,9
831,22,1,5
832,53,2,9
833,70,2,10
834,53,2,8
835,65,2,6
836,65,2,8
837,71,1,6
838,67,2,2
839,55,1,1
840,23,2,6
841,53,1,8
842,39,1,7
843,72,1,NA
844,48,1,4
845,70,1,8
846,76,2,6
847,45,2,6
848,57,2,6
849,53,1,8
850,67,1,8
851,37,2,0
852,57,2,3
853,65,2,2
854,62,2,10
855,70,1,6
856,74,1,6
857,72,1,8
858,46,2,7
859,40,2,5
860,60,2,10
861,62,2,7
862,37,2,4
863,57,2,5
864,64,1,10
865,67,2,7
866,51,1,8
867,41,1,8
868,51,2,5
869,42,1,6
870,61,1,5
871,75,2,6
872,47,2,8
873,49,2,7
874,74,2,9
875,46,1,10
876,52,2,4
877,76,2,10
878,64,2,5
879,70,1,5
880,46,2,7
881,52,1,5
882,29,1,8
883,64,1,10
884,62,1,8
885,59,1,9
886,33,1,6
887,71,1,7
888,66,1,6
889,50,1,10
890,29,2,NA
891,77,1,10
892,64,1,9
893,32,2,7
894,57,1,8
895,47,2,5
896,32,1,10
897,73,1,10
898,62,2,3
899,33,2,7
900,41,1,10
901,58,1,4
902,64,1,NA
903,54,1,9
904,39,2,10
905,44,2,1
906,67,2,7
907,74,1,6
908,60,1,7
909,59,2,7
910,60,2,7
911,28,1,6
912,47,1,6
913,36,1,10
914,64,2,6
915,51,2,7
916,44,1,5
917,64,1,9
918,60,2,5
919,65,1,7
920,57,2,6
921,46,2,4
922,61,1,5
923,99,2,9
924,40,1,10
925,59,2,5
926,51,2,7
927,49,1,7
928,32,1,7
929,59,2,5
930,75,1,8
931,66,1,9
932,59,1,8
933,66,2,1
934,42,2,8
935,40,2,7
936,54,2,NA
937,70,1,9
938,26,2,5
939,43,2,5
940,74,1,8
941,71,1,6
942,43,1,8
943,64,1,0
944,43,2,NA
945,60,2,1
946,70,1,8
947,45,2,6
948,46,2,NA
949,51,2,8
950,52,1,2
951,45,1,8
952,68,1,8
953,44,2,3
954,40,2,3
955,34,1,10
956,44,1,8
957,46,2,3
958,41,1,9
959,64,2,7
960,52,1,3
961,33,2,5
962,59,2,NA
963,41,2,4
964,35,1,3
965,43,2,4
966,72,2,8
967,63,1,8
968,19,1,8
969,57,2,6
970,35,2,10
971,42,2,6
972,62,1,8
973,26,2,4
974,35,2,6
975,42,2,6
976,53,2,8
977,27,2,7
978,40,1,10
979,55,1,10
980,53,2,0
981,28,2,6
982,34,2,3
983,60,2,7
984,47,2,7
985,36,2,7
986,54,2,NA
987,40,2,7
988,59,2,10
989,73,2,10
990,41,2,8
991,41,1,6
992,35,1,2
993,66,2,7
994,58,2,7
995,82,2,10
996,47,2,5
997,29,2,2
998,47,2,0
999,52,2,1
1000,67,1,7
1001,60,1,8
1002,30,1,9
1003,32,1,7
1004,20,2,6
1005,70,2,10
1006,47,1,10
1007,28,2,6
1008,50,2,8
1009,63,2,10
1010,49,2,8
1011,57,1,2
1012,57,2,7
1013,73,2,3
1014,29,2,7
1015,75,1,9
1016,52,2,10
1017,60,2,7
1018,48,2,7
1019,31,1,7
1020,48,1,10
1021,51,1,4
1022,34,1,4
1023,45,2,10
1024,63,2,8
1025,43,2,8
1026,66,1,8
1027,77,1,8
1028,32,2,1
1029,53,1,10
1030,42,1,0
1031,37,2,8
1032,51,2,1
1033,66,1,6
1034,51,2,8
1035,56,2,7
1036,60,2,8
1037,40,1,6
1038,29,2,7
1039,76,2,10
1040,50,2,5
1041,52,2,3
1042,69,2,6
1043,28,2,6
1044,61,2,6
1045,51,1,10
1046,63,1,7
1047,68,1,7
1048,30,2,3
1049,67,2,NA
1050,68,1,8
1051,53,1,7
1052,27,2,6
1053,57,1,10
1054,67,1,10
1055,57,2,4
1056,63,2,7
1057,57,2,10
1058,66,2,9
1059,27,1,7
1060,73,1,1
1061,62,1,6
1062,57,1,8
1063,39,2,5
1064,44,2,9
1065,52,1,9
1066,41,1,8
1067,67,1,6
1068,54,2,3
1069,53,1,9
1070,62,1,7
1071,63,2,6
1072,36,2,6
1073,77,1,8
1074,71,2,9
1075,71,2,10
1076,57,2,10
1077,60,1,8
1078,38,1,NA
1079,63,1,8
1080,87,1,7
1081,41,2,3
1082,44,2,10
1083,43,1,8
1084,41,2,6
1085,71,2,2
1086,46,1,6
1087,50,2,9
1088,62,2,10
1089,55,2,7
1090,74,1,9
1091,48,1,6
1092,48,2,10
1093,57,2,6
1094,21,2,7
1095,48,2,7
1096,35,2,7
1097,59,2,9
1098,64,2,7
1099,51,2,6
1100,73,2,7
1101,62,1,8
1102,59,2,8
1103,44,2,7
1104,66,1,8
1105,62,2,10
1106,48,1,8
1107,29,1,9
1108,25,2,4
1109,51,2,7
1110,34,2,8
1111,72,1,10
1112,55,1,7
1113,71,1,6
1114,50,1,3
1115,59,2,10
1116,29,2,9
1117,71,1,8
1118,65,2,6
1119,44,2,7
1120,68,1,8
1121,64,1,7
1122,32,2,7
1123,53,2,3
1124,66,2,1
1125,42,1,9
1126,39,2,3
1127,45,2,2
1128,62,1,9
1129,38,1,8
1130,31,2,3
1131,57,2,6
1132,39,1,NA
1133,43,1,3
1134,35,1,7
1135,27,2,2
1136,57,1,5
1137,46,1,3
1138,53,1,2
1139,65,2,6
1140,77,1,8
1141,27,2,7
1142,29,2,7
1143,32,1,7
1144,24,1,2
1145,72,1,7
1146,24,2,2
1147,71,2,8
1148,40,1,6
1149,55,2,10
1150,49,2,6
1151,26,1,6
1152,47,2,3
1153,65,1,7
1154,56,1,2
1155,57,2,6
1156,56,1,8
1157,63,2,8
1158,74,2,8
1159,41,1,10
1160,47,2,8
1161,67,1,8
1162,63,1,8
1163,63,1,8
1164,81,1,7
1165,61,2,9
1166,29,2,6
1167,60,2,5
1168,69,1,9
1169,63,1,8
1170,71,1,8
1171,65,1,7
1172,27,1,5
1173,65,2,7
1174,65,3,6
1175,33,2,6
1176,41,2,3
1177,57,2,5
1178,41,2,3
1179,72,1,9
1180,76,2,5
1181,53,1,7
1182,77,1,6
1183,43,1,8
1184,55,2,8
1185,69,1,8
1186,31,1,10
1187,73,1,9
1188,60,2,8
1189,43,1,7
1190,71,1,8
1191,68,1,10
1192,76,1,8
1193,29,1,6
1194,56,2,5
1195,83,2,6
1196,60,2,7
1197,70,2,5
1198,59,1,10
1199,58,2,8
1200,52,2,1
1201,66,2,6
1202,29,2,7
1203,61,1,8
1204,36,2,2
1205,52,2,7
1206,43,2,8
1207,58,2,8
1208,74,2,7
1209,47,1,8
1210,59,2,8
1211,73,1,6
1212,72,2,9
1213,61,1,10
1214,59,1,7
1215,65,2,NA
1216,69,2,6
1217,67,2,8
1218,73,2,10
1219,45,2,10
1220,58,1,6
1221,59,2,10
1222,33,1,10
1223,71,1,7
1224,76,1,7
1225,69,1,8
1226,56,1,10
1227,60,1,5
1228,65,1,10
1229,60,1,9
1230,29,2,6
1231,65,2,6
1232,55,2,7
1233,75,1,8
1234,49,1,7
1235,67,2,5
1236,59,2,2
1237,67,2,8
1238,48,2,2
1239,63,2,7
1240,66,2,7
1241,57,2,8
1242,59,2,7
1243,66,2,8
1244,67,2,NA
1245,81,1,10
1246,35,1,5
1247,62,2,7
1248,62,2,10
1249,77,2,10
1250,55,2,6
1251,71,2,6
1252,69,3,10
1253,66,1,1
1254,76,1,9
1255,74,1,6
1256,35,1,7
1257,51,1,8
1258,52,1,10
1259,72,1,8
1260,67,1,7
1261,67,1,8
1262,69,2,6
1263,62,2,5
1264,65,1,10
1265,67,2,9
1266,78,1,8
1267,39,2,8
1268,54,1,8
1269,64,2,9
1270,57,2,7
1271,42,1,3
1272,99,2,3
1273,69,1,7
1274,27,1,8
1275,62,1,7
1276,67,2,5
1277,48,1,6
1278,61,2,8
1279,61,2,10
1280,55,2,6
1281,56,1,7
1282,65,1,7
1283,55,2,6
1284,54,2,7
1285,21,2,10
1286,69,1,7
1287,48,1,9
1288,68,2,4
1289,81,1,10
1290,79,2,6
1291,62,2,6
1292,59,2,1
1293,39,2,2
1294,33,1,10
1295,54,2,7
1296,58,1,2
1297,53,2,7
1298,86,1,9
1299,45,1,8
1300,54,1,4
1301,75,1,9
1302,61,2,9
1303,55,2,1
1304,38,1,3
1305,43,1,8
1306,64,2,8
1307,56,2,1
1308,38,1,3
1309,40,2,5
1310,26,1,7
1311,60,2,3
1312,46,1,10
1313,43,1,5
1314,21,2,4
1315,57,2,6
1316,59,1,7
1317,65,1,10
1318,66,1,10
1319,68,1,2
1320,64,1,4
1321,72,2,8
1322,72,1,5
1323,74,2,10
1324,56,1,3
1325,63,2,5
1326,39,2,7
1327,64,2,8
1328,52,2,4
1329,52,1,7
1330,60,1,5
1331,43,1,8
1332,49,1,3
1333,61,1,6
1334,30,2,4
1335,37,2,1
1336,74,1,9
1337,46,2,10
1338,61,1,10
1339,76,1,8
1340,55,2,6
1341,58,2,7
1342,59,2,8
1343,60,2,9
1344,74,2,9
1345,69,1,4
1346,36,2,8
1347,52,1,10
1348,65,1,7
1349,43,2,8
1350,70,2,10
1351,50,1,9
1352,68,2,8
1353,66,1,9
1354,70,2,7
1355,57,1,8
1356,68,1,7
1357,75,2,6
1358,60,2,8
1359,77,2,9
1360,64,2,6
1361,23,2,3
1362,35,2,6
1363,62,2,5
1364,73,1,8
1365,72,1,10
1366,73,1,7
1367,65,2,3
1368,47,2,6
1369,71,1,8
1370,65,2,7
1371,50,2,5
1372,66,2,5
1373,37,2,7
1374,33,2,7
1375,43,1,6
1376,65,2,9
1377,61,2,9
1378,67,2,4
1379,52,1,8
1380,64,2,7
1381,58,1,7
1382,69,1,5
1383,49,1,7
1384,73,1,8
1385,28,2,6
1386,71,3,8
1387,62,2,8
1388,62,1,NA
1389,37,2,1
1390,68,2,8
1391,43,2,2
1392,56,1,7
1393,69,1,10
1394,67,2,7
1395,60,2,6
1396,55,1,9
1397,62,2,7
1398,51,2,7
1399,63,1,8
1400,52,1,7
1401,71,1,8
1402,46,1,7
1403,49,1,7
1404,78,1,NA
1405,40,2,6
1406,52,1,7
1407,71,1,9
1408,57,1,6
1409,51,2,3
1410,75,2,3
1411,58,2,0
1412,40,1,8
1413,49,1,7
1414,39,2,7
1415,49,1,7
1416,75,1,7
1417,52,1,10
1418,71,2,10
1419,51,2,1
1420,47,1,8
1421,64,2,7
1422,71,1,6
1423,39,1,7
1424,54,1,8
1425,66,2,9
1426,55,1,8
1427,57,1,7
1428,67,2,6
1429,55,2,8
1430,59,1,NA
1431,47,2,3
1432,31,1,2
1433,24,2,10
1434,57,2,2
1435,64,1,0
1436,26,2,8
1437,70,2,9
1438,35,2,6
1439,48,2,5
1440,49,1,6
1441,50,2,7
1442,59,2,8
1443,71,1,6
1444,37,2,7
1445,65,1,7
1446,76,1,4
1447,41,2,0
1448,42,1,7
1449,49,1,2
1450,27,1,7
1451,73,1,9
1452,77,1,8
1453,65,2,10
1454,68,2,NA
1455,58,2,8
1456,34,2,6
1457,37,1,9
1458,64,1,7
1459,57,3,5
1460,57,1,9
1461,38,2,5
1462,50,2,3
1463,49,2,8
1464,57,2,2
1465,61,1,3
1466,46,1,7
1467,38,1,3
1468,77,1,8
1469,59,2,1
1470,59,2,8
1471,39,1,10
1472,59,1,8
1473,31,1,5
1474,54,2,8
1475,33,2,7
1476,99,1,7
1477,31,2,NA
1478,68,1,7
1479,65,2,5
1480,68,1,9
1481,61,2,8
1482,46,2,7
1483,29,1,7
1484,61,2,5
1485,52,1,8
1486,77,1,8
1487,39,1,6
1488,65,1,5
1489,56,1,9
1490,68,1,7
1491,54,2,NA
1492,64,2,4
1493,71,1,8
1494,66,1,7
1495,32,2,3
1496,51,2,7
1497,57,1,10
1498,53,2,1
1499,34,2,10
1500,49,1,10
1501,48,1,8
1502,64,2,5
1503,65,1,3
1504,64,2,7
1505,52,2,5
1506,32,1,8
1507,69,1,5
1508,71,2,8
1509,76,2,8
1510,47,1,7
1511,57,1,8
1512,39,2,4
1513,67,1,7
1514,52,2,6
1515,66,1,7
1516,55,2,7
1517,65,1,8
1518,63,2,6
1519,52,1,NA
1520,75,2,8
1521,29,2,3
1522,59,2,5
1523,47,2,4
1524,65,2,4
1525,60,1,9
1526,63,1,3
1527,70,1,9
1528,31,2,3
1529,74,2,7
1530,45,1,7
1531,66,1,7
1532,35,2,7
1533,66,2,6
1534,64,2,10
1535,63,1,8
1536,48,2,4
1537,72,1,8
1538,43,2,3
1539,71,1,7
1540,56,1,8
1541,59,1,9
1542,65,1,8
1543,29,2,0
